Anchor-MPJPE_mm,Anchor-root_mm,Boundary-camera-rotation_deg,Boundary-camera-translation_m,Camera-rotation_deg,Camera-translation_m,Completion,Coverage,Orientation_deg,PA-MPJPE_mm,Seam-orientation_deg,Seam-root_mm,angle_stratum,case_id,dataset,evaluation_status,failure_reason,line,native_track_count,protocol,raw_status,subject,wall_time_seconds
724.7693364237697,672.3615472326201,112.75745401915562,7.792120304798,72.4674885779081,5.292484253735902,1.0,0.98,54.359003283342275,56.87367300102929,57.79306959322514,223.63225719153758,,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,AIST++,ok,,1,2,MC150-3,success,,415.34827971458435
515.5966046398399,430.34199009295395,89.79633415290711,6.2051318449691895,157.7284321378205,10.443982040788057,1.0,0.9933333333333333,108.1406088294985,55.05286914699077,32.68509528515426,459.0408757292106,,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,AIST++,ok,,2,2,MC150-3,success,,465.37380599975586
805.9974123395947,794.1888213727561,62.58188715504119,4.950652621821019,86.36715574174754,5.884942616942675,1.0,0.9933333333333333,56.11904405603232,58.114364016366835,27.201867246111004,353.83182989405833,,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,AIST++,ok,,3,2,MC150-3,success,,470.38663125038147
1415.6588379655987,1388.885913583053,85.18046261550954,6.05257486689003,72.64189277235101,6.0573861831875115,1.0,0.98,54.69388686861054,50.56834793203404,44.97103473664225,329.5449008302143,,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,AIST++,ok,,4,2,MC150-3,success,,475.38691210746765
792.5063695887404,708.4042778561848,112.59899435585612,7.8572641349921195,53.65015334943263,5.160619102158637,1.0,0.98,41.224435995714664,63.5623783936806,56.90931534675191,300.4463881544393,,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,AIST++,ok,,5,2,MC150-3,success,,470.39194917678833
461.09713781004496,294.6621762227578,89.79146998365157,6.190718106487132,157.73107526436567,9.804498037845665,1.0,0.98,111.29410679010992,57.93612518435262,59.35431957928638,433.85280320041124,,aist__gBR_sBM_cAll_d06_mBR4_ch02__mc150-3,AIST++,ok,,6,2,MC150-3,success,,465.371661901474
527.631259857906,424.55610022242934,89.79178811482771,6.187408189491396,157.73066387366814,9.787953352359388,1.0,0.98,106.72146373687735,60.5027351870945,42.80159117051972,380.28162815440544,,aist__gBR_sBM_cAll_d06_mBR5_ch01__mc150-3,AIST++,ok,,7,2,MC150-3,success,,485.39226961135864
999.0841661760164,955.4191571200555,112.75628059350394,7.805197100651923,71.84994216014219,5.68940479229763,1.0,0.98,59.582908970460664,61.45058989230748,47.44814993411461,473.83967257380857,,aist__gBR_sBM_cAll_d06_mBR5_ch02__mc150-3,AIST++,ok,,8,2,MC150-3,success,,470.38259077072144
1575.3737888994337,1560.4224890980684,103.62748244660673,7.578454658928795,13.279967047120879,2.7735864374342243,1.0,0.9933333333333333,14.731186466127387,53.061013338830044,43.37030561307329,556.4219709397192,,aist__gHO_sBM_cAll_d21_mHO3_ch01__mc150-3,AIST++,ok,,9,2,MC150-3,success,,465.3825492858887
1616.5989208638837,1616.9656948506283,62.657845723859424,5.160296336949761,47.505524310584114,3.6733366496278475,1.0,0.98,33.1490587243946,48.48263914353162,20.50512467217508,439.0807401406214,,aist__gHO_sBM_cAll_d21_mHO3_ch02__mc150-3,AIST++,ok,,10,2,MC150-3,success,,470.39276599884033
530.2293861803594,483.0860188331223,112.29463539778659,7.989723628777913,70.249632646787,5.342447756258475,1.0,0.98,50.07593228714796,53.06107814927375,42.01469134854118,126.06263793217538,,aist__gHO_sBM_cAll_d21_mHO4_ch01__mc150-3,AIST++,ok,,11,2,MC150-3,success,,465.3832504749298
450.8218582331633,401.97484715612745,90.14064007450922,6.325031319810788,112.32103918972716,8.18773401672025,1.0,0.98,77.11063234436945,50.815347642873775,32.74634224210152,345.14596136504645,,aist__gHO_sBM_cAll_d21_mHO4_ch02__mc150-3,AIST++,ok,,12,2,MC150-3,success,,460.382892370224
533.0870767258976,497.38128150290606,90.13939138643227,6.303960683110519,112.54534050913603,8.665887750256298,1.0,0.96,76.94679188372616,57.235701334158676,24.947861994453746,558.7993577572958,,aist__gHO_sBM_cAll_d21_mHO5_ch01__mc150-3,AIST++,ok,,13,2,MC150-3,success,,455.3740782737732
772.196077127349,760.423738260566,112.31318293739895,8.018741719805039,71.04560836479165,5.47452677721712,1.0,0.96,49.49282497603706,57.59742663612355,39.979353263831634,505.17045279556515,,aist__gHO_sBM_cAll_d21_mHO5_ch02__mc150-3,AIST++,ok,,14,2,MC150-3,success,,450.37477803230286
