Anchor-MPJPE_mm,Anchor-root_mm,Camera-rotation_deg,Camera-translation_m,Completion,Coverage,Orientation_deg,PA-MPJPE_mm,Seam-orientation_deg,Seam-root_mm,angle_stratum,case_id,dataset,evaluation_status,failure_reason,line,native_track_count,protocol,raw_status,subject,wall_time_seconds
507.96333080326826,444.77646290694645,135.64566656841257,9.31534451313369,1.0,0.98,74.5544839146829,53.58141256556734,49.85743906540573,993.3486273271033,,aist__gBR_sBM_cAll_d06_mBR2_ch01__cs150,AIST++,ok,,1,2,CS150,success,,590.519617319107
444.3839489593238,353.2439373451582,137.19210241122383,9.924331294059197,1.0,0.98,81.29406026872715,54.45737034031256,67.0231460598928,235.31092285378378,,aist__gBR_sBM_cAll_d06_mBR2_ch02__cs150,AIST++,ok,,2,2,CS150,success,,490.3976092338562
418.4380193823543,359.77065763812,89.56252119459032,6.322416131724377,1.0,0.9933333333333333,45.6857995920276,57.1201445721218,38.03267094834067,167.95089504424297,,aist__gBR_sBM_cAll_d06_mBR3_ch01__cs150,AIST++,ok,,3,2,CS150,success,,425.35509514808655
1020.0994254091244,1002.9264877814657,4.562790989191879,1.8141708457454158,1.0,0.9933333333333333,10.452437238484958,50.614107305737086,16.24381550233875,434.3173434193871,,aist__gBR_sBM_cAll_d06_mBR3_ch02__cs150,AIST++,ok,,4,2,CS150,success,,480.38573813438416
512.4371255213754,423.4270395163332,89.40405107143226,6.401046459102587,1.0,0.98,52.92288148962594,61.75179380498987,54.83168559486623,517.8833894007248,,aist__gBR_sBM_cAll_d06_mBR4_ch01__cs150,AIST++,ok,,5,2,CS150,success,,500.3999733924866
485.45442940040846,404.4103581357135,136.01358175409172,9.455709975375935,1.0,0.98,79.72702636082998,60.576671653181684,98.94013049505195,731.249334424877,,aist__gBR_sBM_cAll_d06_mBR4_ch02__cs150,AIST++,ok,,6,2,CS150,success,,485.38711762428284
567.0625734901556,502.11162494161283,135.6826377793802,9.496012089865689,1.0,0.98,72.96420678727098,64.37476916601958,56.313162279879094,496.10468142755326,,aist__gBR_sBM_cAll_d06_mBR5_ch01__cs150,AIST++,ok,,7,2,CS150,success,,515.4262759685516
513.0221263592525,468.8320790721447,135.80698914076416,9.140571775847802,1.0,0.98,77.73155159015374,60.44923213645829,102.98902088312926,831.0668896826731,,aist__gBR_sBM_cAll_d06_mBR5_ch02__cs150,AIST++,ok,,8,2,CS150,success,,495.4062099456787
1646.4255281052779,1636.1724517622074,5.99067664185304,3.0584053296799207,1.0,0.98,12.343781656600838,54.41104754649029,38.55493816241925,903.620668132341,,aist__gHO_sBM_cAll_d21_mHO3_ch01__cs150,AIST++,ok,,9,2,CS150,success,,500.4208722114563
1282.936298555878,1277.225163042314,5.045507571407204,2.6621649808857266,1.0,0.9933333333333333,10.290809607936035,47.815862632920606,2.292123073628285,505.1038399926482,,aist__gHO_sBM_cAll_d21_mHO3_ch02__cs150,AIST++,ok,,10,2,CS150,success,,495.4226837158203
286.95653349962544,216.1288110584029,135.16421134675647,9.394343165948154,1.0,0.98,69.8123485255012,51.69609108917164,50.17158991893941,264.89621151676937,,aist__gHO_sBM_cAll_d21_mHO4_ch01__cs150,AIST++,ok,,11,2,CS150,success,,495.4000928401947
481.95847484346183,449.3731271329784,135.1729165983869,9.419949974464942,1.0,0.9666666666666667,70.05041088251431,54.77313810496842,,,,aist__gHO_sBM_cAll_d21_mHO4_ch02__cs150,AIST++,ok,,12,2,CS150,success,,465.3747375011444
443.6491166720229,407.48563896799044,135.52373909079077,9.66578012675896,1.0,0.9666666666666667,75.48054848586541,56.707278855501826,,,,aist__gHO_sBM_cAll_d21_mHO5_ch01__cs150,AIST++,ok,,13,2,CS150,success,,470.3750467300415
496.36796826408033,472.88597831076794,135.40635175676664,9.54114915383455,1.0,0.96,70.00173532837694,56.68885859446231,,,,aist__gHO_sBM_cAll_d21_mHO5_ch02__cs150,AIST++,ok,,14,2,CS150,success,,470.37996530532837
431.5872241712256,377.9087371290827,88.39871347235099,7.270384962148206,1.0,0.98,47.869734491937805,61.39263355695626,47.873848849859556,188.68403337457144,,aist__gHO_sBM_cAll_d21_mHO5_ch03__cs150,AIST++,ok,,15,2,CS150,success,,485.4000542163849
321.52166748845065,260.17031962777173,89.5790818875008,7.074890464101239,1.0,0.98,50.8866888143887,58.930310586612684,39.68886222227909,605.6138070236817,,aist__gHO_sBM_cAll_d21_mHO5_ch04__cs150,AIST++,ok,,16,2,CS150,success,,485.39069294929504
531.2467446925522,527.6277716358852,135.16284689727044,9.16393946737418,1.0,0.96,69.33910825920724,46.183224143871115,,,,aist__gHO_sBM_cAll_d21_mHO5_ch05__cs150,AIST++,ok,,17,2,CS150,success,,460.3662157058716
1065.9629127458586,1047.9738726536366,4.15585892410119,2.3681493356674777,1.0,0.98,12.552330744896054,54.833509780740435,7.94216039834294,535.1876806430769,,aist__gHO_sBM_cAll_d21_mHO5_ch06__cs150,AIST++,ok,,18,2,CS150,success,,465.40133476257324
413.02132261740667,344.11480390337056,135.26321464035343,9.347324341469294,1.0,0.98,73.5338937511785,64.16847377694297,43.727520229519115,170.75751792308574,,aist__gHO_sBM_cAll_d21_mHO5_ch10__cs150,AIST++,ok,,19,2,CS150,success,,460.3863317966461
1056.9768224064603,1049.3351293137812,8.589253906925387,2.4238084680281795,1.0,0.98,12.67239599897848,58.094532916861425,6.358564540104372,567.7282280413232,,aist__gHO_sFM_cAll_d21_mHO5_ch20__cs150,AIST++,ok,,20,2,CS150,success,,455.3751654624939
794.1612617227429,752.7257572326396,135.45365879038624,9.136260153660428,1.0,0.98,85.95092605441327,50.75498953994872,68.69750037569642,730.3057690213129,,aist__gJB_sBM_cAll_d09_mJB2_ch01__cs150,AIST++,ok,,21,2,CS150,success,,480.4103491306305
1082.9333865014878,1035.1877636121199,135.3845005404943,8.283797486453647,1.0,0.96,81.31119539355397,62.826274777262206,,,,aist__gJB_sBM_cAll_d09_mJB2_ch02__cs150,AIST++,ok,,22,2,CS150,success,,460.3707938194275
828.0408813794671,792.764659691905,135.20949843941526,9.103823264508256,1.0,0.98,62.632702420527856,52.4635649102126,63.58062210143909,211.6717191439422,,aist__gJB_sBM_cAll_d09_mJB3_ch01__cs150,AIST++,ok,,23,2,CS150,success,,445.35102939605713
1054.5761707029894,1036.5986802746118,5.600368995798183,1.7362097200787832,1.0,0.9933333333333333,18.61454398728226,63.14282432554531,13.03176643153434,245.68805956774338,,aist__gJB_sBM_cAll_d09_mJB3_ch02__cs150,AIST++,ok,,24,2,CS150,success,,455.3738193511963
916.1343916095316,877.895728048006,134.41666296613477,8.306560695042354,1.0,0.9666666666666667,89.58173297250782,55.17465061212755,,,,aist__gJB_sBM_cAll_d09_mJB4_ch01__cs150,AIST++,ok,,25,2,CS150,success,,460.38029503822327
602.9278264890272,550.8019465795327,89.63732572440277,6.47507766047239,1.0,0.9666666666666667,57.50684697319585,68.44002844575735,,,,aist__gJB_sBM_cAll_d09_mJB4_ch02__cs150,AIST++,ok,,26,2,CS150,success,,445.37341117858887
594.5558819486095,560.281925074657,90.29630529430126,6.644146150659324,1.0,0.96,58.70111779028199,67.89149192371568,,,,aist__gJB_sBM_cAll_d09_mJB5_ch02__cs150,AIST++,ok,,27,2,CS150,success,,445.36216282844543
363.4961417841983,231.29710645735983,135.21194283110052,9.181920015156713,1.0,0.9933333333333333,79.00512961414691,93.59575829554107,31.390325355201174,426.1309141062232,,aist__gJB_sBM_cAll_d09_mJB5_ch03__cs150,AIST++,ok,,28,2,CS150,success,,455.38149785995483
540.5024599351548,508.88485187713025,5.6120731952246175,1.3262500155999293,1.0,0.98,20.039324871879618,68.40901399608873,15.120812582360955,330.48836445839356,,aist__gJB_sBM_cAll_d09_mJB5_ch04__cs150,AIST++,ok,,29,2,CS150,success,,445.368106842041
735.1215072412061,660.8452621272731,90.22473723484951,6.3569052432561355,1.0,0.9666666666666667,60.77022577634446,66.56301792874112,,,,aist__gJB_sBM_cAll_d09_mJB5_ch05__cs150,AIST++,ok,,30,2,CS150,success,,455.3827157020569
1237.8709527592086,1217.521085166405,89.09597781073725,6.436556722565053,1.0,0.9666666666666667,61.02167064536755,87.37753641229918,,,,aist__gJB_sBM_cAll_d09_mJB5_ch06__cs150,AIST++,ok,,31,2,CS150,success,,440.34636664390564
1125.4293840151208,1098.7129794714779,90.83165978643044,6.527118367828489,1.0,0.98,76.79596501028641,70.43898260353808,44.688759970312155,240.40129413804223,,aist__gJB_sBM_cAll_d09_mJB5_ch08__cs150,AIST++,ok,,32,2,CS150,success,,485.3951151371002
472.312428439869,430.1094224606031,89.65288906199387,6.301005820604741,1.0,0.9933333333333333,49.722490576590886,73.17208113416343,66.58426007091946,248.18069584284325,,aist__gJB_sFM_cAll_d09_mJB5_ch20__cs150,AIST++,ok,,33,2,CS150,success,,470.38673400878906
1043.9661435553032,1040.3254819834515,7.666917507762261,2.776441636019749,1.0,0.98,9.779685276473755,36.131640248957545,11.52392962383603,528.2626274575624,,aist__gJS_sBM_cAll_d03_mJS3_ch01__cs150,AIST++,ok,,34,2,CS150,success,,485.41169834136963
1474.7881851821733,1468.9541732414286,12.784522200266224,1.1766968691142246,1.0,0.98,13.75051700834966,41.1188322674376,3.2082819601768438,1087.8253935919977,,aist__gJS_sBM_cAll_d03_mJS3_ch02__cs150,AIST++,ok,,35,2,CS150,success,,475.3933186531067
1045.9479498282865,1014.680636220648,135.03320947951156,8.500923093687373,1.0,0.96,74.57169652366386,51.67985009797658,,,,aist__gJS_sBM_cAll_d03_mJS3_ch06__cs150,AIST++,ok,,36,2,CS150,success,,460.37088418006897
336.9514166354662,212.26886038549043,134.7881623767648,8.62874271989468,1.0,0.98,74.1698368512698,52.07138731674661,55.24085312810071,218.10042057896882,,aist__gJS_sBM_cAll_d03_mJS3_ch07__cs150,AIST++,ok,,37,2,CS150,success,,445.3655366897583
375.5645281748337,273.2782073170944,90.344562593864,6.952172522389273,1.0,0.98,52.15046112894733,43.25678395890477,45.94142309927046,342.4118457144235,,aist__gJS_sBM_cAll_d03_mJS3_ch08__cs150,AIST++,ok,,38,2,CS150,success,,455.37672233581543
1182.2211837336542,1166.851728905705,5.986718358625013,2.4791541589617547,1.0,0.98,17.340581300471534,42.94142176655561,9.780502275314468,444.4536119287741,,aist__gJS_sBM_cAll_d03_mJS3_ch09__cs150,AIST++,ok,,39,2,CS150,success,,445.36333322525024
1273.130835463465,1269.713497257296,10.071039719738712,3.253161215517861,1.0,0.9933333333333333,9.457406811285148,33.69349905212081,14.452948096570088,520.3746292769561,,aist__gJS_sBM_cAll_d03_mJS4_ch01__cs150,AIST++,ok,,40,2,CS150,success,,450.3851161003113
986.4843977043943,976.1714232833666,7.00769170734055,2.8229969596999327,1.0,0.98,8.446597281318247,35.02880378886713,5.870564429928969,348.2782501482309,,aist__gJS_sBM_cAll_d03_mJS5_ch01__cs150,AIST++,ok,,41,2,CS150,success,,450.3697180747986
1169.7479222068157,1145.539693826257,5.004486737231411,2.950911547510229,1.0,0.98,11.742797200716382,54.26247061276954,3.070418203734114,438.2833610207343,,aist__gJS_sFM_cAll_d03_mJS3_ch04__cs150,AIST++,ok,,42,2,CS150,success,,460.3782844543457
281.9455291860685,219.45148179948418,89.4541130912038,7.402038423090463,1.0,0.98,48.3423948456349,55.19153826137795,28.08053924568037,549.034232985749,,aist__gKR_sBM_cAll_d30_mKR2_ch01__cs150,AIST++,ok,,43,2,CS150,success,,460.3773193359375
338.8531438290389,295.4579442545464,89.71094073074019,7.197098890783007,1.0,0.9933333333333333,51.36306831864925,51.66358655453011,44.91465519296893,451.3912023099097,,aist__gKR_sBM_cAll_d30_mKR2_ch02__cs150,AIST++,ok,,44,2,CS150,success,,460.37077736854553
301.4059301080572,171.13565547219972,134.73441934813962,8.699299134932273,1.0,0.98,79.71486791891607,53.74911430576031,34.843451006210344,393.5168354258363,,aist__gKR_sBM_cAll_d30_mKR2_ch03__cs150,AIST++,ok,,45,2,CS150,success,,460.383926153183
330.3578403316515,324.4645992137614,89.2900143563637,7.380103268785307,1.0,0.98,49.870268671202474,53.618492593117445,28.589155840027136,470.3889520977629,,aist__gKR_sBM_cAll_d30_mKR2_ch04__cs150,AIST++,ok,,46,2,CS150,success,,465.37783455848694
386.6271574397437,358.91149606976984,89.08573002563757,7.448666511852001,1.0,0.98,48.5215466229289,51.16824980042097,38.451710496440256,244.934339600419,,aist__gKR_sBM_cAll_d30_mKR2_ch05__cs150,AIST++,ok,,47,2,CS150,success,,445.37546586990356
299.24346018238657,199.3924334045993,134.60745651692423,8.857137055374363,1.0,0.9933333333333333,76.66662810971425,40.23236608091381,42.07251507346118,383.63719443677684,,aist__gKR_sBM_cAll_d30_mKR2_ch06__cs150,AIST++,ok,,48,2,CS150,success,,425.3632142543793
767.0219383067167,753.9772868852708,5.287703095073303,1.8269685280142718,1.0,0.98,9.868877710981499,56.73230259447849,9.85029616460316,506.252808372095,,aist__gKR_sBM_cAll_d30_mKR2_ch07__cs150,AIST++,ok,,49,2,CS150,success,,435.3589463233948
380.9923959802807,363.46712362188265,89.69430234811976,7.433135302179239,1.0,0.98,52.258037957954336,54.896817960577785,44.8468674481013,427.26393935029034,,aist__gKR_sBM_cAll_d30_mKR2_ch08__cs150,AIST++,ok,,50,2,CS150,success,,445.3710651397705
484.7400710583601,504.6526496762841,88.74206984179517,6.842204006903538,1.0,0.98,52.77093799690606,63.00888709947717,33.16772786548669,707.1195094187602,,aist__gKR_sBM_cAll_d30_mKR3_ch02__cs150,AIST++,ok,,51,2,CS150,success,,455.38756489753723
410.4860726402296,277.06100390544265,135.07596666368283,9.277778083107473,1.0,0.98,76.48091965196895,57.00690432553028,90.80302941483045,709.4856169411833,,aist__gKR_sBM_cAll_d30_mKR4_ch01__cs150,AIST++,ok,,52,2,CS150,success,,470.3782045841217
269.1283174013499,181.04950768431587,89.61587246971062,7.626794529452241,1.0,0.98,52.94606498565357,62.41516679861151,35.81210373841557,154.7393532877417,,aist__gKR_sBM_cAll_d30_mKR4_ch02__cs150,AIST++,ok,,53,2,CS150,success,,460.3799693584442
307.1917972253684,257.3515923520871,89.86216598183186,7.310811263689123,1.0,0.98,53.14373416655811,57.17877907110953,44.405382494383,475.7174751502933,,aist__gKR_sFM_cAll_d30_mKR2_ch17__cs150,AIST++,ok,,54,2,CS150,success,,465.37715768814087
457.0580118158546,405.5482321542236,90.63394242033078,6.999688935701672,1.0,0.98,54.73831200230311,52.95005531971878,45.146523859929566,234.84715123401463,,aist__gLH_sBM_cAll_d18_mLH2_ch01__cs150,AIST++,ok,,55,2,CS150,success,,500.4097409248352
430.1560373274219,409.4347318880462,33.31029982996953,3.1591187288553626,1.0,0.9933333333333333,19.350474693411936,59.88715004747827,19.97337560275255,252.16094125495403,,aist__gLH_sBM_cAll_d18_mLH2_ch02__cs150,AIST++,ok,,56,2,CS150,success,,480.39421582221985
446.39068491957175,417.4437087501833,90.04558350450603,7.115486153651595,1.0,0.9733333333333334,48.90046359806893,59.3911661496506,,,,aist__gLH_sBM_cAll_d18_mLH3_ch01__cs150,AIST++,ok,,57,2,CS150,success,,465.38107562065125
465.14547913503867,430.2834912466771,135.51166676736378,9.169437440507238,1.0,0.98,73.67204307992495,60.81134794651262,72.04593073465102,424.9081029079466,,aist__gLH_sBM_cAll_d18_mLH3_ch02__cs150,AIST++,ok,,58,2,CS150,success,,450.36317467689514
297.36966427431037,205.8698890907874,135.43625929973987,9.089968618375483,1.0,0.98,72.64767365528814,49.66093456894156,37.52007772035717,195.267143091578,,aist__gLH_sBM_cAll_d18_mLH4_ch04__cs150,AIST++,ok,,59,2,CS150,success,,445.36739134788513
222.21167645929046,214.59462717335182,45.10415454572715,3.823810062520283,1.0,0.98,29.00935148636931,54.302299837560454,13.159365659727978,300.56249329039025,,aist__gLH_sBM_cAll_d18_mLH4_ch05__cs150,AIST++,ok,,60,2,CS150,success,,470.3821487426758
309.012895728357,294.95943490226904,44.79222392319767,3.605789222844,1.0,0.98,23.928589561532878,65.76915500505133,17.607443807757413,180.93953371320717,,aist__gLH_sBM_cAll_d18_mLH4_ch06__cs150,AIST++,ok,,61,2,CS150,success,,480.4025008678436
296.5466177486518,263.0815254236754,45.180962880285286,3.775722565702384,1.0,0.98,30.658999178349404,54.90282381605921,23.203494969131462,503.63074284013373,,aist__gLH_sBM_cAll_d18_mLH4_ch09__cs150,AIST++,ok,,62,2,CS150,success,,480.3905746936798
297.3945013273742,233.00474791433783,135.58654663704078,9.163412215847723,1.0,0.9933333333333333,71.06502997396679,51.113285992141016,46.250958772213835,205.4526963553723,,aist__gLH_sBM_cAll_d18_mLH4_ch10__cs150,AIST++,ok,,63,2,CS150,success,,460.3898539543152
283.75210262028116,262.03656097760984,45.25346843469816,3.74546629067338,1.0,0.98,29.272813804486724,65.18213166683036,15.984115666896827,289.2534939233614,,aist__gLH_sBM_cAll_d18_mLH5_ch01__cs150,AIST++,ok,,64,2,CS150,success,,490.40691590309143
